Label,Model,CV_AUC_Mean,CV_AUC_Std,Test_AUC,Test_AP,Test_F1,Best_Threshold,Overfitting_Gap
SSD,Logistic_L1,0.633,0.044,0.610,0.333,0.459,0.541,0.041
SSD,Logistic_L2,0.645,0.024,0.636,0.386,0.483,0.587,0.035
SSD,RandomForest_Simple,0.784,0.020,0.646,0.436,0.491,0.578,0.281
SSD,GradientBoosting_Simple,0.778,0.027,0.629,0.391,0.468,0.477,0.342
SSD,SVM_RBF,0.756,0.039,0.618,0.349,0.457,0.253,0.236
MDD,Logistic_L1,0.704,0.033,0.540,0.227,0.377,0.565,0.183
MDD,Logistic_L2,0.718,0.033,0.569,0.240,0.382,0.483,0.169
MDD,RandomForest_Simple,0.857,0.032,0.592,0.244,0.400,0.340,0.359
MDD,GradientBoosting_Simple,0.886,0.032,0.552,0.220,0.385,0.286,0.431
MDD,SVM_RBF,0.839,0.033,0.601,0.259,0.392,0.510,0.290
Panic,Logistic_L1,0.645,0.018,0.478,0.118,0.273,0.610,0.189
Panic,Logistic_L2,0.669,0.025,0.449,0.100,0.178,0.297,0.238
Panic,RandomForest_Simple,0.881,0.008,0.603,0.148,0.267,0.573,0.346
Panic,GradientBoosting_Simple,0.920,0.008,0.585,0.150,0.250,0.726,0.399
Panic,SVM_RBF,0.868,0.009,0.545,0.145,0.212,0.159,0.358
GAD,Logistic_L1,0.584,0.008,0.547,0.361,0.504,0.347,0.089
GAD,Logistic_L2,0.628,0.037,0.559,0.359,0.512,0.181,0.108
GAD,RandomForest_Simple,0.709,0.039,0.566,0.433,0.529,0.507,0.336
GAD,GradientBoosting_Simple,0.745,0.039,0.623,0.514,0.523,0.415,0.343
GAD,SVM_RBF,0.685,0.012,0.592,0.439,0.524,0.259,0.220
